Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 610,275/35 R 20,000ZR,275/35 R 20,000ZR
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 610,245/45 R 19,102V,245/45 R 19,102V
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 610,275/40 R 19,105ZR(Y),275/40 R 19,105ZR(Y)
ASTON MARTIN,V12 Vanquish,2001 - 2007,6.0 V12 460,255/40 R 19,096Y,285/40 R 19,103Y
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 642,275/40 R 20,106W,275/40 R 20,106W
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 642,275/40 R 20,106ZR(Y),275/40 R 20,106ZR(Y)
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 642,275/35 R 21,103ZR(Y),275/35 R 21,103ZR(Y)
LADA,Granta Berlina,2012 - ,1.6 L 87,185/60 R 14,082H,185/60 R 14,082H
LADA,Granta Berlina,2012 - ,1.6 L 87,185/55 R 15,082H,185/55 R 15,082H
LADA,Granta Berlina,2012 - ,1.6 L 87,175/70 R 13,082T,175/70 R 13,082T
LADA,Granta Berlina,2012 - ,1.6 L 87,175/65 R 14,082H,175/65 R 14,082H
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 626,275/40 R 20,106ZR(Y),275/40 R 20,106ZR(Y)
BENTLEY,Continental GT Speed,2003 - 2016,6.0 W12 626,275/35 R 21,103ZR(Y),275/35 R 21,103ZR(Y)
MERCEDES-AMG,ML 55,1998 - 2005,5.5 V8 347,255/60 R 17,106H,255/60 R 17,106H
MERCEDES-AMG,ML 55,1998 - 2005,5.5 V8 347,285/50 R 18,109W,285/50 R 18,109W
MERCEDES-AMG,ML 55,1998 - 2005,5.5 V8 347,275/55 R 17,109T,275/55 R 17,109T
ALPINA,D 4 Biturbo Coupé (F32),2014 - 2018,3.0 biturbo 350,245/35 R 19,093ZR(Y),265/35 R 19,098ZR(Y)
ALPINA,D 4 Biturbo Coupé (F32),2014 - 2018,3.0 biturbo 350,245/30 R 20,090ZR(Y),265/30 R 20,094ZR(Y)
MASERATI,Quattroporte Trofeo,2020 - ,3.8 V8 580,245/40 R 20,099ZR(Y),285/35 R 20,100ZR(Y)
MASERATI,Quattroporte Trofeo,2020 - ,3.8 V8 580,245/35 R 21,096ZR(Y),285/30 R 21,100ZR(Y)
LADA,Granta Berlina,2012 - ,1.6 L 106,185/60 R 14,082H,185/60 R 14,082H
LADA,Granta Berlina,2012 - ,1.6 L 106,185/55 R 15,082H,185/55 R 15,082H
LADA,Granta Berlina,2012 - ,1.6 L 106,175/70 R 13,082T,175/70 R 13,082T
LADA,Granta Berlina,2012 - ,1.6 L 106,175/65 R 14,082H,175/65 R 14,082H
IVECO,50C15V,2014 - ,3.0 D 146,195/75 R 16,110N,195/75 R 16,110N
DAIHATSU,YRV,2002 - 2008,1.3 L 87,165/70 R 13,079S,165/70 R 13,079S
LADA,Kalinka,1995 - 2012,1.7,175/70 R 13,082T,175/70 R 13,082T
CHRYSLER,Grand Voyager 4x4,1996 - 2007,3.0 V6,215/65 R 15,096T,215/65 R 15,096T
LADA,Kalinka,1995 - 2012,1.5,165/80 R 13,083T,165/80 R 13,083T
LADA,Kalinka,1995 - 2012,1.5,175/70 R 13,082T,175/70 R 13,082T
ASTON MARTIN,V12 Vantage S,2010 - 2018,5.9 V12 574,255/35 R 19,096ZR(Y),295/30 R 19,100ZR(Y)
ASTON MARTIN,V12 Vantage S,2010 - 2018,5.9 V12 574,235/40 R 19,096W,275/35 R 19,100W
IVECO,35C13V,2014 - ,2.3 D 126,195/75 R 16,107R,195/75 R 16,107R
DAIHATSU,YRV Turbo,2002 - 2008,1.3 T 129,175/55 R 15,077V,175/55 R 15,077V
MERCEDES-AMG,C 63 Edition 507 Coupé,2011 - 2015,6.2 V8 507,235/35 R 19,091Y,255/30 R 19,091Y
MERCEDES-AMG,C 63 Edition 507 Coupé,2011 - 2015,6.2 V8 507,235/35 R 19,000ZR,255/30 R 19,000ZR
MERCEDES-AMG,C 63 Edition 507 Coupé,2011 - 2015,6.2 V8 507,235/40 R 18,095ZR(Y),255/35 R 18,094ZR(Y)
MERCEDES-AMG,C 63 Edition 507 Coupé,2011 - 2015,6.2 V8 507,225/40 R 18,092H,225/40 R 18,092H
ASTON MARTIN,V8 Vantage Roadster S,2007 - 2017,4.7 V8 436,235/40 R 19,096W,275/35 R 19,100W
ASTON MARTIN,V8 Vantage Roadster S,2007 - 2017,4.7 V8 436,245/40 R 19,094ZR(Y),285/35 R 19,099ZR(Y)
IVECO,25S15,2008 - 2013,3.0 D 146,235/85 R 16,120R,235/85 R 16,120R
SKODA,Octavia,2004 - 2013,1.4 L 80,195/65 R 15,091T,195/65 R 15,091T
SKODA,Octavia,2004 - 2013,1.4 L 80,205/60 R 15,091H,205/60 R 15,091H
SKODA,Octavia,2004 - 2013,1.4 L 80,205/55 R 16,091H,205/55 R 16,091H
SKODA,Octavia,2004 - 2013,1.4 L 80,225/45 R 17,091W,225/45 R 17,091W
SKODA,Octavia,2004 - 2013,1.4 L 80,205/50 R 17,093H,205/50 R 17,093H
DAIHATSU,Applause 4WD,1989 - 1997,1.6 L 105,185/60 R 14,082H,185/60 R 14,082H
DAIHATSU,Applause 4WD,1989 - 1997,1.6 L 105,175/70 R 13,082H,175/70 R 13,082H
BENTLEY,Continental R,1991 - 2003,6.75 V8 Turbo 426,285/45 R 18,103Y,285/45 R 18,103Y
MERCEDES-AMG,E 53 Coupé 4Matic,2016 - ,3.0 V6 435,245/40 R 19,098ZR(Y),275/35 R 19,100ZR(Y)
MERCEDES-AMG,E 53 Coupé 4Matic,2016 - ,3.0 V6 435,245/35 R 20,095ZR(Y),275/30 R 20,097ZR(Y)
MERCEDES-AMG,E 53 Coupé 4Matic,2016 - ,3.0 V6 435,245/35 R 20,095Y,275/30 R 20,097Y
MERCEDES-AMG,E 53 Coupé 4Matic,2016 - ,3.0 V6 435,245/40 R 19,098V,245/40 R 19,098V
MASERATI,Grecale Modena,2022 - ,2.0 L 330,255/40 R 21,102W,295/35 R 21,107W
MASERATI,Grecale Modena,2022 - ,2.0 L 330,235/55 R 19,101Y,235/55 R 19,101Y
